Zona_Descr,Descr_Tipologia,Stato,Compr_min,Compr_max,Loc_min,Loc_max,Semestre,Anno
PARCO SEMPIONE,Abitazioni di tipo economico,OTTIMO,4000,5800,12,18,1,2021
ARCO DELLA PACE,Abitazioni di tipo economico,OTTIMO,4000,5800,12,18,1,2021
CORSO MAGENTA,Abitazioni di tipo economico,OTTIMO,4000,5800,12,18,1,2021
PARCO SEMPIONE,Abitazioni signorili,OTTIMO,7800,10500,22,28,1,2021
ARCO DELLA PACE,Abitazioni signorili,OTTIMO,7800,10500,22,28,1,2021
CORSO MAGENTA,Abitazioni signorili,OTTIMO,7800,10500,22,28,1,2021
PARCO SEMPIONE,Box,NORMALE,2400,3500,"9,5","13,7",1,2021
ARCO DELLA PACE,Box,NORMALE,2400,3500,"9,5","13,7",1,2021
CORSO MAGENTA,Box,NORMALE,2400,3500,"9,5","13,7",1,2021
PARCO SEMPIONE,Magazzini,NORMALE,900,1200,"4,8","6,4",1,2021
ARCO DELLA PACE,Magazzini,NORMALE,900,1200,"4,8","6,4",1,2021
CORSO MAGENTA,Magazzini,NORMALE,900,1200,"4,8","6,4",1,2021
PARCO SEMPIONE,Negozi,OTTIMO,4900,7500,25,41,1,2021
ARCO DELLA PACE,Negozi,OTTIMO,4900,7500,25,41,1,2021
CORSO MAGENTA,Negozi,OTTIMO,4900,7500,25,41,1,2021
PARCO SEMPIONE,Negozi,NORMALE,3300,4800,"16,6","24,5",1,2021
ARCO DELLA PACE,Negozi,NORMALE,3300,4800,"16,6","24,5",1,2021
CORSO MAGENTA,Negozi,NORMALE,3300,4800,"16,6","24,5",1,2021
PARCO SEMPIONE,Uffici,OTTIMO,3700,5400,14,22,1,2021
ARCO DELLA PACE,Uffici,OTTIMO,3700,5400,14,22,1,2021
CORSO MAGENTA,Uffici,OTTIMO,3700,5400,14,22,1,2021
PARCO SEMPIONE,Uffici strutturati,OTTIMO,4100,6200,"20,5",31,1,2021
ARCO DELLA PACE,Uffici strutturati,OTTIMO,4100,6200,"20,5",31,1,2021
CORSO MAGENTA,Uffici strutturati,OTTIMO,4100,6200,"20,5",31,1,2021
PARCO SEMPIONE,Laboratori,NORMALE,1500,2000,"7,5",10,1,2021
ARCO DELLA PACE,Laboratori,NORMALE,1500,2000,"7,5",10,1,2021
CORSO MAGENTA,Laboratori,NORMALE,1500,2000,"7,5",10,1,2021
PARCO SEMPIONE,Abitazioni civili,OTTIMO,5900,8400,"17,6","25,5",2,2021
ARCO DELLA PACE,Abitazioni civili,OTTIMO,5900,8400,"17,6","25,5",2,2021
CORSO MAGENTA,Abitazioni civili,OTTIMO,5900,8400,"17,6","25,5",2,2021
PARCO SEMPIONE,Abitazioni civili,NORMALE,4000,5800,13,"17,5",2,2021
ARCO DELLA PACE,Abitazioni civili,NORMALE,4000,5800,13,"17,5",2,2021
CORSO MAGENTA,Abitazioni civili,NORMALE,4000,5800,13,"17,5",2,2021
PARCO SEMPIONE,Abitazioni di tipo economico,NORMALE,3400,4200,"9,5","12,5",2,2021
ARCO DELLA PACE,Abitazioni di tipo economico,NORMALE,3400,4200,"9,5","12,5",2,2021
CORSO MAGENTA,Abitazioni di tipo economico,NORMALE,3400,4200,"9,5","12,5",2,2021
PARCO SEMPIONE,Abitazioni di tipo economico,OTTIMO,4300,5900,"12,6","18,5",2,2021
ARCO DELLA PACE,Abitazioni di tipo economico,OTTIMO,4300,5900,"12,6","18,5",2,2021
CORSO MAGENTA,Abitazioni di tipo economico,OTTIMO,4300,5900,"12,6","18,5",2,2021
PARCO SEMPIONE,Abitazioni signorili,OTTIMO,7600,10500,21,27,2,2021
ARCO DELLA PACE,Abitazioni signorili,OTTIMO,7600,10500,21,27,2,2021
CORSO MAGENTA,Abitazioni signorili,OTTIMO,7600,10500,21,27,2,2021
