Quotazioni Immobiliari : Valori di Mercato - Semestre 2013/1 - elaborazione del 07-APR-23
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;18;Uffici strutturati;OTTIMO;P;5000;7000;L;23;32;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;10;Laboratori;NORMALE;P;2400;2700;L;13;16;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;20;Abitazioni civili;SCADENTE; ;4000;5000;L;15;17;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;20;Abitazioni civili;OTTIMO; ;5900;7500;L;21;26;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;20;Abitazioni civili;NORMALE;P;5000;5900;L;17,2;20,8;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;21;Abitazioni di tipo economico;OTTIMO; ;4900;6400;L;16;22;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;21;Abitazioni di tipo economico;NORMALE;P;4200;5000;L;14;16;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;21;Abitazioni di tipo economico;SCADENTE; ;3500;4200;L;12;14;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;13;Box;NORMALE;P;3400;4800;L;12;16;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;9;Magazzini;NORMALE;P;1800;2300;L;10;13;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;5;Negozi;NORMALE;P;3700;5400;L;18,5;27,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;6;Uffici;OTTIMO;P;4300;5300;L;18,5;24,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;18;Uffici strutturati;OTTIMO;P;4500;6000;L;20;28;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;10;Laboratori;NORMALE;P;2200;2700;L;12;15;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B14;MI00003237;20;Abitazioni civili;SCADENTE; ;4800;5600;L;16;17,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B14;MI00003237;20;Abitazioni civili;OTTIMO;P;6400;7800;L;20,8;26,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B14;MI00003237;20;Abitazioni civili;NORMALE; ;5600;6400;L;17,5;20,8;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B14;MI00003237;21;Abitazioni di tipo economico;SCADENTE; ;4300;4500;L;14;15;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B14;MI00003237;21;Abitazioni di tipo economico;OTTIMO; ;5400;6200;L;17;20;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B14;MI00003237;21;Abitazioni di tipo economico;NORMALE;P;4500;5400;L;15;17;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B14;MI00003237;13;Box;NORMALE;P;3800;5100;L;12;16;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B14;MI00003237;9;Magazzini;NORMALE;P;1750;2350;L;10;13;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B14;MI00003237;5;Negozi;OTTIMO; ;13000;17000;L;65;90;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B14;MI00003237;5;Negozi;NORMALE;P;3800;5700;L;20,5;30,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B14;MI00003237;6;Uffici;OTTIMO;P;4000;6000;L;18,7;25,7;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B14;MI00003237;18;Uffici strutturati;OTTIMO;P;5000;7000;L;20,2;32,2;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B14;MI00003237;10;Laboratori;NORMALE;P;2400;2800;L;14;17;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C01;MI00000296;20;Abitazioni civili;SCADENTE; ;1800;2100;L;5,5;7,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C01;MI00000296;20;Abitazioni civili;OTTIMO; ;3000;4100;L;9,5;14,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C01;MI00000296;20;Abitazioni civili;NORMALE;P;2100;3000;L;6,5;8,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C01;MI00000296;21;Abitazioni di tipo economico;OTTIMO; ;2300;3000;L;7,5;10;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C01;MI00000296;21;Abitazioni di tipo economico;NORMALE;P;1700;2300;L;5,5;7,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C01;MI00000296;21;Abitazioni di tipo economico;SCADENTE; ;1500;1700;L;5;6,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C01;MI00000296;13;Box;NORMALE;P;1800;2500;L;6,5;9,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C01;MI00000296;9;Magazzini;NORMALE;P;800;1000;L;4;6;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C01;MI00000296;5;Negozi;NORMALE;P;2200;3100;L;9,9;14,1;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C01;MI00000296;6;Uffici;OTTIMO;P;2400;2900;L;10;12;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C01;MI00000296;18;Uffici strutturati;OTTIMO;P;2400;3400;L;12;16;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C01;MI00000296;8;Capannoni industriali;NORMALE;P;800;1000;L;5;6;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C01;MI00000296;7;Capannoni tipici;NORMALE;P;900;1100;L;5;6;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C01;MI00000296;10;Laboratori;NORMALE;P;900;1200;L;5,2;7;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C02;MI00000297;20;Abitazioni civili;SCADENTE; ;2700;3200;L;8;9;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C02;MI00000297;20;Abitazioni civili;OTTIMO; ;4200;6000;L;12;16;L;
