Quotazioni Immobiliari : Valori di Mercato - Semestre 2014/1 - elaborazione del 07-APR-23
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C01;MI00000296;8;Capannoni industriali;NORMALE;P;800;1000;L;5;6;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C01;MI00000296;7;Capannoni tipici;NORMALE;P;900;1100;L;5;6;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C01;MI00000296;10;Laboratori;NORMALE;P;1100;1600;L;5,5;7,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C02;MI00000297;20;Abitazioni civili;OTTIMO; ;4100;6000;L;13;19;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C02;MI00000297;20;Abitazioni civili;NORMALE;P;3200;4100;L;11;13;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C02;MI00000297;21;Abitazioni di tipo economico;OTTIMO; ;3400;4100;L;10,5;13;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C02;MI00000297;21;Abitazioni di tipo economico;NORMALE;P;2400;3200;L;8;10,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C02;MI00000297;19;Abitazioni signorili;OTTIMO;P;6000;7000;L;19;23;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C02;MI00000297;13;Box;NORMALE;P;2000;2900;L;6,5;9,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C02;MI00000297;1;Ville e Villini;OTTIMO;P;5800;7000;L;19;23;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C02;MI00000297;9;Magazzini;NORMALE;P;650;800;L;3,8;5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C02;MI00000297;5;Negozi;NORMALE;P;2350;3500;L;13,5;18;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C02;MI00000297;6;Uffici;OTTIMO;P;2600;3300;L;10;12;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C02;MI00000297;18;Uffici strutturati;OTTIMO;P;2700;3500;L;13;19;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C02;MI00000297;8;Capannoni industriali;NORMALE;P;800;1100;L;4,7;6,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C02;MI00000297;7;Capannoni tipici;NORMALE;P;900;1200;L;4,7;6,7;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C02;MI00000297;10;Laboratori;NORMALE;P;1000;1300;L;5,8;8;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C06;MI00000301;20;Abitazioni civili;OTTIMO; ;3700;5300;L;10,5;14,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C06;MI00000301;20;Abitazioni civili;NORMALE;P;2600;3600;L;7,5;10;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C06;MI00000301;21;Abitazioni di tipo economico;OTTIMO; ;3000;3600;L;9;10,7;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C06;MI00000301;21;Abitazioni di tipo economico;NORMALE;P;2300;3100;L;7;8,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C06;MI00000301;13;Box;NORMALE;P;1900;2700;L;8;12;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C06;MI00000301;9;Magazzini;NORMALE;P;700;900;L;3,4;4,6;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C06;MI00000301;5;Negozi;OTTIMO;P;4000;5500;L;20;28;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C06;MI00000301;5;Negozi;NORMALE; ;1900;2800;L;10;14,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C06;MI00000301;6;Uffici;OTTIMO;P;1900;2500;L;7,5;9,4;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C06;MI00000301;18;Uffici strutturati;OTTIMO;P;2350;3000;L;12,2;17,2;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C06;MI00000301;8;Capannoni industriali;NORMALE;P;800;1150;L;4,8;6,8;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C06;MI00000301;7;Capannoni tipici;NORMALE;P;850;1200;L;5;7;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C06;MI00000301;10;Laboratori;NORMALE;P;1050;1450;L;6,2;8,6;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C08;MI00000303;20;Abitazioni civili;OTTIMO; ;3500;5000;L;11;15;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C08;MI00000303;20;Abitazioni civili;NORMALE;P;2400;3300;L;7,3;10;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C08;MI00000303;21;Abitazioni di tipo economico;OTTIMO; ;2500;3500;L;9;11;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C08;MI00000303;21;Abitazioni di tipo economico;NORMALE;P;2100;2500;L;7;8;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C08;MI00000303;13;Box;NORMALE;P;1900;2700;L;7,5;11;L;
