Neighborhood,Type,Status,Min_Sale_Price,Max_Sale_Price,Min_Rent_Price,Max_Rent_Price,Semester,Year,Avg_Sale_Price,Avg_Rent_Price
VIA DANTE,Negozi,OTTIMO,5500,7800,27.0,39.0,1,2017,6650.0,33.0
SANT`AMBROGIO,Negozi,NORMALE,4300,5500,19.0,27.0,1,2017,4900.0,23.0
CADORNA,Negozi,NORMALE,4300,5500,19.0,27.0,1,2017,4900.0,23.0
VIA DANTE,Negozi,NORMALE,4300,5500,19.0,27.0,1,2017,4900.0,23.0
SANT`AMBROGIO,Uffici,OTTIMO,3800,4600,15.0,20.5,1,2017,4200.0,17.75
CADORNA,Uffici,OTTIMO,3800,4600,15.0,20.5,1,2017,4200.0,17.75
VIA DANTE,Uffici,OTTIMO,3800,4600,15.0,20.5,1,2017,4200.0,17.75
SANT`AMBROGIO,Uffici strutturati,OTTIMO,4600,5500,20.5,23.5,1,2017,5050.0,22.0
CADORNA,Uffici strutturati,OTTIMO,4600,5500,20.5,23.5,1,2017,5050.0,22.0
VIA DANTE,Uffici strutturati,OTTIMO,4600,5500,20.5,23.5,1,2017,5050.0,22.0
SANT`AMBROGIO,Laboratori,NORMALE,2400,3000,12.0,15.0,1,2017,2700.0,13.5
CADORNA,Laboratori,NORMALE,2400,3000,12.0,15.0,1,2017,2700.0,13.5
VIA DANTE,Laboratori,NORMALE,2400,3000,12.0,15.0,1,2017,2700.0,13.5
SANT`AMBROGIO,Abitazioni civili,OTTIMO,7400,9000,22.3,25.9,2,2017,8200.0,24.1
CADORNA,Abitazioni civili,OTTIMO,7400,9000,22.3,25.9,2,2017,8200.0,24.1
VIA DANTE,Abitazioni civili,OTTIMO,7400,9000,22.3,25.9,2,2017,8200.0,24.1
SANT`AMBROGIO,Abitazioni civili,NORMALE,6300,7400,19.0,21.8,2,2017,6850.0,20.4
CADORNA,Abitazioni civili,NORMALE,6300,7400,19.0,21.8,2,2017,6850.0,20.4
VIA DANTE,Abitazioni civili,NORMALE,6300,7400,19.0,21.8,2,2017,6850.0,20.4
SANT`AMBROGIO,Abitazioni di tipo economico,NORMALE,5500,6200,16.0,18.5,2,2017,5850.0,17.25
CADORNA,Abitazioni di tipo economico,NORMALE,5500,6200,16.0,18.5,2,2017,5850.0,17.25
VIA DANTE,Abitazioni di tipo economico,NORMALE,5500,6200,16.0,18.5,2,2017,5850.0,17.25
SANT`AMBROGIO,Abitazioni di tipo economico,OTTIMO,6200,7500,18.8,22.0,2,2017,6850.0,20.4
CADORNA,Abitazioni di tipo economico,OTTIMO,6200,7500,18.8,22.0,2,2017,6850.0,20.4
VIA DANTE,Abitazioni di tipo economico,OTTIMO,6200,7500,18.8,22.0,2,2017,6850.0,20.4
SANT`AMBROGIO,Abitazioni signorili,OTTIMO,8900,10500,25.0,35.0,2,2017,9700.0,30.0
CADORNA,Abitazioni signorili,OTTIMO,8900,10500,25.0,35.0,2,2017,9700.0,30.0
VIA DANTE,Abitazioni signorili,OTTIMO,8900,10500,25.0,35.0,2,2017,9700.0,30.0
SANT`AMBROGIO,Box,NORMALE,3900,5100,12.5,16.5,2,2017,4500.0,14.5
CADORNA,Box,NORMALE,3900,5100,12.5,16.5,2,2017,4500.0,14.5
VIA DANTE,Box,NORMALE,3900,5100,12.5,16.5,2,2017,4500.0,14.5
SANT`AMBROGIO,Magazzini,NORMALE,1500,2100,10.0,13.0,2,2017,1800.0,11.5
CADORNA,Magazzini,NORMALE,1500,2100,10.0,13.0,2,2017,1800.0,11.5
VIA DANTE,Magazzini,NORMALE,1500,2100,10.0,13.0,2,2017,1800.0,11.5
SANT`AMBROGIO,Negozi,OTTIMO,5500,7900,27.2,39.2,2,2017,6700.0,33.2
CADORNA,Negozi,OTTIMO,5500,7900,27.2,39.2,2,2017,6700.0,33.2
VIA DANTE,Negozi,OTTIMO,5500,7900,27.2,39.2,2,2017,6700.0,33.2
SANT`AMBROGIO,Negozi,NORMALE,4200,5500,18.7,26.8,2,2017,4850.0,22.75
CADORNA,Negozi,NORMALE,4200,5500,18.7,26.8,2,2017,4850.0,22.75
VIA DANTE,Negozi,NORMALE,4200,5500,18.7,26.8,2,2017,4850.0,22.75
SANT`AMBROGIO,Uffici,OTTIMO,3900,4600,15.0,20.5,2,2017,4250.0,17.75
CADORNA,Uffici,OTTIMO,3900,4600,15.0,20.5,2,2017,4250.0,17.75
VIA DANTE,Uffici,OTTIMO,3900,4600,15.0,20.5,2,2017,4250.0,17.75
SANT`AMBROGIO,Uffici strutturati,OTTIMO,4600,5400,20.5,23.5,2,2017,5000.0,22.0
CADORNA,Uffici strutturati,OTTIMO,4600,5400,20.5,23.5,2,2017,5000.0,22.0
VIA DANTE,Uffici strutturati,OTTIMO,4600,5400,20.5,23.5,2,2017,5000.0,22.0
SANT`AMBROGIO,Laboratori,NORMALE,2400,3000,12.0,15.0,2,2017,2700.0,13.5
CADORNA,Laboratori,NORMALE,2400,3000,12.0,15.0,2,2017,2700.0,13.5
VIA DANTE,Laboratori,NORMALE,2400,3000,12.0,15.0,2,2017,2700.0,13.5
PARCO SEMPIONE,Abitazioni civili,NORMALE,4100,5600,12.9,16.2,1,2017,4850.0,14.55
ARCO DELLA PACE,Abitazioni civili,NORMALE,4100,5600,12.9,16.2,1,2017,4850.0,14.55
CORSO MAGENTA,Abitazioni civili,NORMALE,4100,5600,12.9,16.2,1,2017,4850.0,14.55
PARCO SEMPIONE,Abitazioni civili,OTTIMO,5700,7700,17.4,23.5,1,2017,6700.0,20.45
ARCO DELLA PACE,Abitazioni civili,OTTIMO,5700,7700,17.4,23.5,1,2017,6700.0,20.45
