id,name,neighborhood_cleansed,latitude,longitude,host_listings_count,property_type,room_type,accommodates,bedrooms,price,availability_365,review_scores_rating
31941567,Private Room 2 + bathroom + attic - Line 5 Istria,MAGGIOLINA,45.5025,9.20141,3,Private room in townhouse,Private room,3,1.0,"$1,800.00",88,5.0
31941723,Viafarini-in-residence Blu,PIOLA,45.48878,9.18348,6,Entire condo,Entire home/apt,4,2.0,$280.00,47,5.0
32338353,"Xenia, 2 steps from MM1, then 10 min to the center",VIALE CORSICA,45.50884,9.22128,1,Private room in condo,Private room,2,1.0,$49.00,0,4.9
32346520,Room in the Sky B,PARCO LAMBRO,45.4875,9.24241,2,Private room in rental unit,Private room,2,1.0,$49.00,159,4.61
32348667,Milan Isola Design District Apartment,REPUBBLICA,45.48562,9.18733,1,Entire rental unit,Entire home/apt,2,1.0,$280.00,28,5.0
32348890,SEMPIONE APPARTAMENTS,SARPI,45.48189,9.16733,2,Entire rental unit,Entire home/apt,4,1.0,$80.00,0,4.85
32137820,"Single room near Navigli, Bocconi and Duomo",ITALIA,45.4384,9.17921,1,Private room in condo,Private room,1,1.0,$185.00,180,5.0
32149652,MI-LPAL6A2 - Palazzi 6,BUENOS AIRES,45.47753,9.20616,488,Entire rental unit,Entire home/apt,5,1.0,$143.00,100,3.88
32152044,LOFT sui Navigli,SAN CRISTOFORO,45.44508,9.15978,1,Entire loft,Entire home/apt,4,2.0,$140.00,0,3.0
32155889,Red Studio,GIAMBELLINO,45.45425,9.1506,65,Entire rental unit,Entire home/apt,2,1.0,$42.00,248,4.32
32156796,Comfort e Design nel cuore di Milano,MONTE ROSA,45.46833,9.15228,1,Entire condo,Entire home/apt,2,1.0,$250.00,0,5.0
32157080,Room in the sky A,PARCO LAMBRO,45.48689,9.24272,2,Private room in rental unit,Private room,2,1.0,$69.00,147,4.81
32157812,Ampio monolocale a nord di Milano,TORINO,45.50963,9.23737,1,Entire rental unit,Entire home/apt,2,,$85.00,0,5.0
32159094,Cozy  bedroom close to the city center,BUENOS AIRES,45.4845,9.21832,1,Private room in condo,Private room,2,1.0,$80.00,0,4.0
32159837,RIVIERAapt2#6PEOPLE#charme&style#WAITINGforYOU,CERMENTATE,45.49145,9.20386,4,Entire rental unit,Entire home/apt,6,2.0,$129.00,50,4.67
32164288,Leoncavallo House,LORETO,45.49203,9.22525,2,Private room in rental unit,Private room,7,3.0,$30.00,0,
32167549,Double Room Single Use,WASHINGTON,45.46377,9.15386,4,Room in hotel,Hotel room,1,1.0,$309.00,95,4.83
31943469,affitto periodi brevi - navigli centro-silenzioso,NAVIGLIO GRANDE,45.44778,9.16732,2,Private room in rental unit,Private room,2,1.0,$90.00,172,4.81
31946269,Bella e luminosa mansarda nel centro di Milano!,BUENOS AIRES,45.48135,9.21859,1,Entire rental unit,Entire home/apt,2,1.0,$221.00,362,5.0
32175512,Intero trilocale - Navigli,NAVIGLIO GRANDE,45.44501,9.16298,1,Entire condo,Entire home/apt,4,2.0,$100.00,145,5.0
